country,year,years until divorce,measure used
United Kingdom,1980,10.10000038,Median
United Kingdom,1981,10.10000038,Median
United Kingdom,1982,10.10000038,Median
United Kingdom,1983,10.10000038,Median
United Kingdom,1984,10.10000038,Median
United Kingdom,1985,8.899999619,Median
United Kingdom,1986,9.399999619,Median
United Kingdom,1987,9.5,Median
United Kingdom,1988,9.699999809,Median
United Kingdom,1989,9.699999809,Median
United Kingdom,1990,9.800000191,Median
United Kingdom,1991,9.800000191,Median
United Kingdom,1992,9.899999619,Median
United Kingdom,1993,9.800000191,Median
United Kingdom,1994,9.800000191,Median
United Kingdom,1995,9.600000381,Median
United Kingdom,1996,9.899999619,Median
United Kingdom,1997,10,Median
United Kingdom,1998,10.19999981,Median
United Kingdom,1999,10.5,Median
United Kingdom,2000,10.69999981,Median
United Kingdom,2001,10.89999962,Median
United Kingdom,2002,11.10000038,Median
United Kingdom,2003,11.30000019,Median
United Kingdom,2004,11.5,Median
United Kingdom,2005,11.60000038,Median
United Kingdom,2006,11.60000038,Median
United Kingdom,2007,11.69999981,Median
United Kingdom,2008,11.5,Median
United Kingdom,2009,11.39999962,Median
United Kingdom,2010,11.39999962,Median
United Kingdom,2011,11.5,Median
United Kingdom,2012,11.5,Median
United Kingdom,2013,11.69999981,Median
United Kingdom,2014,11.69999981,Median
United Kingdom,2015,11.89999962,Median
United Kingdom,2016,12,Median
United Kingdom,2017,12.19999981,Median
United Kingdom,2018,12.39999962,Median
United States,1867,7.400000095,Median
United States,1868,7.300000191,Median
United States,1869,7.099999905,Median
United States,1870,6.900000095,Median
United States,1871,6.699999809,Median
United States,1872,6.900000095,Median
United States,1873,7.199999809,Median
United States,1874,7.300000191,Median
United States,1875,7.400000095,Median
United States,1876,7.5,Median
United States,1877,7.599999905,Median
United States,1878,7.699999809,Median
United States,1879,7.699999809,Median
United States,1880,7.900000095,Median
United States,1881,7.800000191,Median
United States,1882,7.900000095,Median
United States,1883,7.800000191,Median
United States,1884,8,Median
United States,1885,7.699999809,Median
United States,1886,7.699999809,Median
United States,1887,8,Median
United States,1888,8.100000381,Median
United States,1889,8.300000191,Median
United States,1890,8.199999809,Median
United States,1891,8.300000191,Median
United States,1892,8.199999809,Median
United States,1893,8.199999809,Median
United States,1894,8.100000381,Median
United States,1895,8.100000381,Median
United States,1896,8,Median
United States,1897,8,Median
United States,1898,8.100000381,Median
United States,1899,8.199999809,Median
United States,1900,8.300000191,Median
United States,1901,8.300000191,Median
United States,1902,8.199999809,Median
United States,1903,8.199999809,Median
United States,1904,8.100000381,Median
United States,1905,8,Median
United States,1906,7.900000095,Median
United States,1922,6.599999905,Median
United States,1923,6.5,Median
United States,1924,6.599999905,Median
United States,1925,6.599999905,Median
United States,1926,6.599999905,Median
United States,1927,6.800000191,Median
United States,1928,6.900000095,Median
United States,1929,6.900000095,Median
United States,1930,6.900000095,Median
United States,1931,7.099999905,Median
United States,1932,7.099999905,Median
United States,1948,6.400000095,Median
United States,1949,6.300000191,Median
United States,1950,5.800000191,Median
United States,1951,6,Median
United States,1952,6.099999905,Median
United States,1953,6.099999905,Median
United States,1954,6.400000095,Median
United States,1955,6.400000095,Median
United States,1956,6.5,Median
United States,1957,6.699999809,Median
United States,1958,6.400000095,Median
United States,1959,7,Median
United States,1960,7.199999809,Median
United States,1961,7.099999905,Median
United States,1962,7.300000191,Median
United States,1963,7.5,Median
United States,1964,7.400000095,Median
United States,1965,7.199999809,Median
United States,1966,7.099999905,Median
United States,1967,7.099999905,Median
United States,1968,7,Median
United States,1969,6.900000095,Median
United States,1978,6.599999905,Median
United States,1979,6.800000191,Median
United States,1980,6.800000191,Median
United States,1981,7,Median
United States,1982,7,Median
United States,1983,7,Median
United States,1984,6.900000095,Median
United States,1985,6.800000191,Median
United States,1986,6.900000095,Median
United States,1987,7,Median
United States,1988,7.099999905,Median
